y_T_out,y_heatPower,y_elecPower,y_COP,Defrosts
316.8265165892692,4935.170960987219,1524.3450508788176,3.237568133371107,no
327.329328926423,5526.408061792663,2416.783279962985,2.2866792019006787,no
318.0915099014573,6722.448215694201,2149.201318528796,3.127882045175719,no
308.2004419889503,6035.44024942053,1248.49723756906,4.848745856353587,no
318.2849171270718,7107.43904164675,2038.06629834254,3.497889502762432,no
305.56926652116584,2528.7338649346843,461.1995697432336,5.482949314854134,no
318.10162944066616,6610.723683700428,2102.8201943095096,3.1437417719260354,no
318.20491712707184,7067.6886718744,2021.3591160221,3.506994475138121,no
327.3183462360018,5530.456504022041,2405.2068537714035,2.2993683455334395,no
316.2268236281221,4404.483943405822,1264.1502312673483,3.4841459776423847,no
317.5596016897987,6001.939634291653,1816.7682165163055,3.303635312269228,no
307.8069492508735,5626.898715405253,1260.8975541579346,4.462613712628752,no
317.7951760267654,1443.984313094579,633.0049316628705,2.281158077712457,no
308.179723756906,7641.79730663085,1748.72375690608,4.383121546961322,no
323.47932626376667,1325.3079358367013,752.9150624710788,1.7602356519300066,no
307.6825076908838,6462.114492145326,1508.1757015270755,4.28472258610335,no
318.1125966850828,4219.43722502775,1060.14364640884,3.992082872928178,no
307.3499120286772,5038.102860521159,1046.013413506014,4.816480166955518,no
318.0762983425414,3290.27755961028,815.016574585633,4.049276243093924,no
326.1860556435331,4387.671813017275,1713.6533585699256,2.560419696944349,no
308.3010497237569,2697.52012088686,467.276243093923,5.7902983425414405,no
318.2073480662983,5769.34956802345,1543.02762430939,3.750215469613258,no
308.2059668508288,5577.82233412053,1050.59668508287,5.325127071823204,no
316.4908287292818,2338.71017426366,589.723756906077,3.9777182320442006,no
315.5415602025901,3474.6750280418755,979.828470860314,3.5462074550569285,no
318.25480662983426,5336.93876843981,1301.17679558011,4.113933701657459,no
327.51644894724666,5803.685827330539,2558.646089773256,2.268264395973909,no
308.27397790055244,3688.43097181575,632.292817679558,5.8509447513812205,no
314.3513024323387,1835.2917546026208,575.4678834142952,3.1892166487444853,no
308.3209392265193,8589.44430813188,2044.14917127072,4.214618784530389,no
318.54794489104785,7136.804829325567,2350.867800138794,3.035817168836212,no
318.19707182320445,6699.15612976075,1829.79005524862,3.672220994475136,no
315.42538001110086,3122.8470749400108,883.6211748381121,3.5341469442627904,no
306.36519932192414,3660.7586448007855,706.1910730804816,5.18380759024914,no
308.27480662983425,4599.01888438235,834.983425414365,5.524558011049724,no
306.6882943894542,4132.581852637963,823.5498612395932,5.018010502020693,no
307.0204226742249,5556.921915562607,1202.3305256825552,4.621792258337598,no
307.58395616473854,6298.476211431603,1433.1705969458624,4.3947846996400015,no
318.28,6045.50025578355,2034.24183006536,3.52630718954248,no
