Code Article;Article;Prix;Disponible ?;Métallique ?;Part Min;Part à consommer;Part Max
FDN0172.;Frites Mn;1500;1;1;0;;0.5
FDN0184.;Disque;580;1;1;0;;0.5
FDN1089.;Carbone;1401;1;1;0;;0.5
FDN1200.;FONTE HAUTE PURETE            ;835;0;1;0;;0.5
FDN1204.;FRITE HAUT SILICIUM           ;452.4;1;1;0;;0.5
FDN1206.;SABOTS DE FREINS SNCF         ;415.7;0;1;0;;0.5
13.;Retour Bleu;580;1;1;0;;0.5
92655248.;FeSi;1965;1;1;0;;0.5
