y_T_out,y_heatPower,y_elecPower,y_COP,Defrosts
308.2487292817679,8628.77528413174,2022.29834254144,4.2796408839779,no
308.3209392265193,8589.44430813188,2044.14917127072,4.214618784530389,no
308.179723756906,7641.79730663085,1748.72375690608,4.383121546961322,no
308.268453038674,6873.78374172585,1477.25966850829,4.667060773480665,no
308.2004419889503,6035.44024942053,1248.49723756906,4.848745856353587,no
308.20596685082876,5577.82233412053,1050.59668508287,5.325127071823204,no
308.27480662983425,4599.01888438235,834.983425414365,5.524558011049724,no
308.27397790055244,3688.43097181575,632.292817679558,5.8509447513812205,no
308.3010497237569,2697.52012088686,467.276243093923,5.7902983425414405,no
318.28,6045.50025578355,2034.24183006536,3.52630718954248,no
318.2849171270718,7107.43904164675,2038.06629834254,3.497889502762432,no
318.20491712707184,7067.6886718744,2021.3591160221,3.5069944751381215,no
318.19707182320445,6699.15612976075,1829.79005524862,3.6722209944751363,no
318.2073480662983,5769.34956802345,1543.02762430939,3.750215469613258,no
318.25480662983426,5336.93876843981,1301.17679558011,4.113933701657459,no
318.1125966850828,4219.43722502775,1060.14364640884,3.992082872928178,no
318.0762983425414,3290.27755961028,815.016574585633,4.0492762430939235,no
316.4908287292818,2338.71017426366,589.723756906077,3.9777182320442006,no
308.12498488275196,7003.175322911658,2094.7640678294597,3.343180948376764,yes
308.75069881850857,6930.10514734313,2066.4617690925415,3.353609174384286,yes
308.6899824687239,6694.2170964386605,1953.2960842368636,3.427138952696992,yes
307.7848966495443,6427.902812426633,1769.743053852526,3.6321107736141878,yes
308.23101414345206,7143.721714187477,1734.466587228133,4.118685114369326,yes
307.6825076908838,6462.114492145326,1508.1757015270755,4.28472258610335,no
307.58395616473854,6298.476211431603,1433.1705969458624,4.3947846996400015,no
307.8069492508735,5626.898715405253,1260.8975541579346,4.462613712628752,no
307.0204226742249,5556.921915562607,1202.3305256825552,4.621792258337598,no
307.3499120286772,5038.102860521159,1046.013413506014,4.816480166955518,no
306.6882943894542,4132.581852637963,823.5498612395932,5.018010502020693,no
306.36519932192414,3660.7586448007855,706.1910730804816,5.18380759024914,no
305.56926652116584,2528.7338649346843,461.1995697432336,5.482949314854134,no
318.1653682920212,6692.48002320531,2494.4246430851063,2.682975427523057,yes
318.3820073387321,6939.333409560239,2500.7025552984696,2.774953540498941,yes
318.04003920125166,6542.192391568199,2394.367985556089,2.732325369798487,yes
318.54794489104785,7136.804829325567,2350.867800138794,3.035817168836212,no
318.0915099014573,6722.448215694201,2149.2013185287956,3.127882045175719,no
318.10162944066616,6610.7236837004275,2102.8201943095096,3.1437417719260354,no
317.5596016897987,6001.939634291653,1816.7682165163058,3.3036353122692277,no
316.8265165892692,4935.170960987219,1524.3450508788176,3.237568133371107,no
316.2268236281221,4404.483943405822,1264.1502312673483,3.4841459776423847,no
315.5415602025901,3474.6750280418755,979.8284708603139,3.5462074550569285,no
315.42538001110086,3122.8470749400108,883.6211748381121,3.5341469442627904,no
314.3513024323387,1835.2917546026208,575.4678834142952,3.1892166487444853,no
327.51644894724666,5803.685827330539,2558.646089773256,2.268264395973909,no
327.329328926423,5526.408061792663,2416.783279962985,2.2866792019006787,no
327.3183462360018,5530.456504022041,2405.2068537714035,2.2993683455334395,no
326.1860556435331,4387.671813017275,1713.6533585699256,2.560419696944349,no
307.4825060357884,6804.173397702701,2157.99487966805,3.1530072021066804,yes
306.8195653154238,6310.037626084269,1753.910514126913,3.5976964476009026,yes
307.6505316575659,4243.836592443959,1252.1499143914868,3.3892400132506144,yes
307.81504134290265,3475.5644398007566,892.6959330143555,3.8933351337950652,?
307.8243827452229,1722.0680943774048,499.37259872611514,3.4484633293263385,?
318.36270654604357,6058.796407059964,2511.647844516431,2.4122794205755653,yes
317.45725944886624,5198.616731739616,2031.8337565941688,2.5585837004961074,yes
316.5943708833873,4071.8311867801526,1516.4585839888969,2.68509224700987,yes
316.0888040911615,3132.961400353586,1063.8925497454902,2.9448099820823717,no
317.7951760267654,1443.984313094579,633.0049316628705,2.281158077712457,no
327.45239255715114,4443.069659713951,2414.3846036760488,1.8402493343227524,yes
327.12973477510405,4293.359281615576,2294.2293651087484,1.8713731708390313,yes
326.6711023028423,3879.115829782043,1835.949715762276,2.11286605318134,yes
325.354283117647,2828.420387698024,1260.9778904665363,2.2430372563087255,no
323.47932626376667,1325.3079358367013,752.9150624710788,1.7602356519300066,no
307.4002011168969,4922.223333900239,1958.989877789588,2.5126333676895736,yes
307.0239059331103,4297.8098676546,1599.1469757525088,2.6875640155791087,yes
306.1341962025862,3307.7116337033103,1187.6682075123147,2.7850468782284157,yes
305.5921898646958,2462.942307494248,822.4511182490031,2.9946367058723777,yes
304.7522974298103,1346.2666125696596,531.3308200542003,2.5337634516144365,yes
317.81711349257057,4716.869811577618,2380.2042503714733,1.9817080029335574,yes
316.9358568484013,3955.134871377666,1911.4087646085986,2.0692250368473974,yes
316.3614215112903,3115.288136010302,1436.1388897849488,2.1692109016536647,yes
315.6254683511905,2160.3794759964467,1009.1906298701299,2.140705048236982,yes
314.60430512623617,924.6794100046153,633.0723659104126,1.4606219759329515,yes
327.3530229588153,3519.2536481564534,2367.003754280427,1.4867968171965626,yes
327.3916241105717,3545.644394020234,2262.5517195253487,1.5670998207121911,yes
326.3324499913089,2757.0486701345844,1684.523486148834,1.636693517665202,yes
324.838952468767,1626.2074011773286,1171.6960038022762,1.3879089763045325,yes
322.1777593770492,138.37119951009535,735.9921967213094,0.18800634045647494,yes
