"","cty_name","iso3numeric","id","year","eiacty","oil_prod32_14","oil_price_2000","oil_price_nom","oil_value_nom","oil_value_2000","oil_value_2014","gas_prod55_14","gas_price_2000_mboe","gas_price_2000","gas_price_nom","gas_value_nom","gas_value_2000","gas_value_2014","oil_gas_value_nom","oil_gas_value_2000","oil_gas_value_2014","oil_gas_valuePOP_nom","oil_gas_valuePOP_2000","oil_gas_valuePOP_2014","oil_exports","net_oil_exports","net_oil_exports_mt","net_oil_exports_value","net_oil_exports_valuePOP","gas_exports","net_gas_exports_bcf","net_gas_exports_mboe","net_gas_exports_value","net_gas_exports_valuePOP","net_oil_gas_exports_valuePOP","population","pop_maddison","sovereign","mult_nom_2000","mult_nom_2014","mult_2000_2014"
"2991","Taiwan",158,"TWN",1932,"Taiwan",NA,NA,0.87,NA,NA,NA,NA,0,NA,0.06,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4806000,4806000,0,12.599874,17.32197312,1.3747735192
"2992","Egypt, Arab Rep.",818,"EGY",1960,"Egypt",3274317,10.91287,1.9,45601412.859,264866959.917407,364132082.595861,0,15656296.5687308,2.8919198312,0.14,0,0,0,45601412.859,264866959.917407,364132082.595861,1.6381317104,9.5147702425,13.0806541704,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,27837452,26846610,1,5.808306,7.98510528,1.3747735192
"2993","Czech Republic",203,"CZE",1954,"Czech Republic",NA,12.21305,1.93,NA,NA,NA,NA,0,NA,0.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9290617,9290617,0,6.400674,8.79947712,1.3747735192
"2994","New Zealand",554,"NZL",1956,"New Zealand",956,12.07436,1.93,13524.4364,85657.2343303824,117759.297482215,0.0015759704,13319530.6022402,2.4602890295,0.11,3314.3021980208,20991.186,28858.1266486411,16838.7385980208,106648.420330382,146617.424130856,0.0077120614,0.0488444645,0.0671500764,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2183429,2178289,1,6.333516,8.70715008,1.3747735192
"2995","Uganda",800,"UGA",1942,"Uganda",NA,12.42108,1.19,NA,NA,NA,NA,0,NA,0.05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,10.559304,14.51665152,1.3747735192
"2996","Bulgaria",100,"BGR",1944,"Bulgaria",NA,11.71031,1.21,NA,NA,NA,NA,0,NA,0.05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6885000,6885000,1,9.78096,13.4466048,1.3747735192
"2997","Mauritania",478,"MRT",1976,"Mauritania",0,38.23404,12.8,0,0,0,0,17871229.028872,3.3010464135,0.58,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1430069,1430069,1,3.025554,4.15945152,1.3747735192
"2998","Israel",376,"ISR",1970,"Israel",5019000,7.879107,1.8,66220686,293518422.805608,403521355.059863,0.8356145288,14359329.9523663,2.6523533755,0.17,2707063.6526978,11998864.732,16495721.4935816,68927749.6526978,305517287.537608,420017076.553445,23.1755663296,102.7240291154,141.2222750096,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2974156,2903434,1,4.432428,6.09358464,1.3747735192
"2999","Singapore",702,"SGP",1939,"Singapore",NA,12.49909,1.02,NA,NA,NA,NA,0,NA,0.05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,728000,728000,0,12.38979,17.0331552,1.3747735192
"3000","Niger",562,"NER",1971,"Niger",0,9.413323,2.24,0,0,0,0,14018642.7165789,2.5894240506,0.18,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4948667,4948667,1,4.246452,5.83790976,1.3747735192
"3001","Central African Republic",140,"CAF",1954,"Central African Republic",0,12.21305,1.93,0,0,0,NA,0,NA,0.1,NA,NA,NA,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1328254,1328254,0,6.400674,8.79947712,1.3747735192
"3002","Portugal",620,"PRT",1950,"Portugal",NA,12.08303,1.71,NA,NA,NA,NA,0,NA,0.07,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8442750,8442750,1,7.148022,9.82691136,1.3747735192
"3003","Nepal",524,"NPL",1945,"Nepal",NA,9.933396,1.05,NA,NA,NA,NA,0,NA,0.05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,9.560544,13.14358272,1.3747735192
