"","cty_name","iso3numeric","id","year","eiacty","oil_prod32_14","oil_price_2000","oil_price_nom","oil_value_nom","oil_value_2000","oil_value_2014","gas_prod55_14","gas_price_2000_mboe","gas_price_2000","gas_price_nom","gas_value_nom","gas_value_2000","gas_value_2014","oil_gas_value_nom","oil_gas_value_2000","oil_gas_value_2014","oil_gas_valuePOP_nom","oil_gas_valuePOP_2000","oil_gas_valuePOP_2014","oil_exports","net_oil_exports","net_oil_exports_mt","net_oil_exports_value","net_oil_exports_valuePOP","gas_exports","net_gas_exports_bcf","net_gas_exports_mboe","net_gas_exports_value","net_gas_exports_valuePOP","net_oil_gas_exports_valuePOP","population","pop_maddison","sovereign","mult_nom_2000","mult_nom_2014","mult_2000_2014"
"1","Thailand",764,"THA",1957,"Thailand",NA,11.47628,1.9,NA,NA,NA,NA,12852184.2618626,2.373964135,0.11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25041917,25041917,1,6.111378,8.40176064,1.3747735192
"2","Thailand",764,"THA",1984,"Thailand",788000,45.81844,28.78,166234431.2,275510770.477767,378764911.49724,18.7116716929,29369761.5996525,5.4249736287,2.66,331585408.178426,549557336.75,755516873.826063,497819839.378426,825068107.227767,1134281785.3233,10.0024297698,16.5776554991,22.79052179,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,49769891,50533778,1,1.6573628489,2.2784985563,1.3747735192
"3","Slovak Republic",703,"SVK",2014,"Slovakia",9960,71.9725878669,98.9460079051,7223731.40992885,5254488.32788316,7223731.40992885,0.66,17121245.3749253,3.1625147632,4.3477415504,15534970.9393246,11300021.9474507,15534970.9393246,22758702.3492534,16554510.2753339,22758702.3492534,4.2001803355,3.0551798365,4.2001803355,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5418506,NA,1,0.7273925385,1,1.3747735192
"4","Moldova",498,"MDA",1967,"Moldova",NA,9.161955,1.8,NA,NA,NA,NA,15656296.5687308,2.8919198312,0.16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3452263,3452263,0,5.153946,7.08550848,1.3747735192
"5","Vietnam",704,"VNM",1996,"Vietnam",8850000,22.48449,20.6684884,1340775176.7522,1471519983.66303,2023006706.46022,4.80106763,12412518.0098546,2.2927521097,2.17,54298459.9230494,59593338.4241497,81927343.5840855,1395073636.67525,1531113322.08718,2104934050.04431,18.7610420276,20.5905126651,28.307291558,168.43699,168.43699,8388162.102,1382335233.30906,18.5897351413,0,0,0,0,0,18.5897351413,74360136,74941175,1,1.0975143403,1.508833652,1.3747735192
"6","France",250,"FRA",2000,"France",1417000,28.50001,28.4954492,295971117.615212,295971117.615211,406893254.934697,10.3679590603,20051474.2893522,3.7037658228,3.68,207892864.530001,207892864.53,285805604.978945,503863982.145213,503863982.145211,692698859.913642,8.5557693609,8.5557693609,11.7622451535,35.07923,-1700.64,-84691872,-17690913807.336,-300.3972970553,27.08661,-1422.24099,-265.6835194351,-5327346259.05764,-90.4600199926,-390.8573170479,58891721,61137000,1,1,1.3747735192,1.3747735192
"7","Turkey",792,"TUR",1997,"Turkey",3789000,20.3782,19.0925875,530265496.894875,568920364.892819,782136652.167633,1.3272577849,12932015.0758337,2.3887099156,2.32,15997914.56636,17164117.6842815,23596774.4721607,546263411.461235,586084482.5771,805733426.639794,8.5387362034,9.1611861322,12.5945560987,0,-473.96736,-23603574.528,-3525389604.27648,-55.105963924,0,-338.45896,-63.2262523084,-817642848.041217,-12.7807142882,-67.8866782122,63974738,64097691,1,1.0728971963,1.4749906542,1.3747735192
"8","Soviet Union",810,"SUN",1959,NA,1.3e+08,12.14371,2.08,1982032000,11696553549.408,16080112085.207,NA,14721586.7556743,2.7192668776,0.13,NA,NA,NA,1982032000,11696553549.408,16080112085.207,9.2773936932,54.7486277375,75.266963624,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,213641036,117956865,1,5.901294,8.11294272,1.3747735192
"9","Qatar",634,"QAT",2002,"Qatar",33800000,23.71533,25.0232558,6203217320.30469,5937709964.1827,8163006423.23319,251.348102353,19291137.0404127,3.56332173,2.95,5065606531.08312,4848790687.34027,6665989036.92326,11268823851.3878,10786500651.523,14828995460.1565,16393.0671347802,15691.4183469103,21572.1464214527,570.8,570.8,28425840,4940899282.86,7187.6617043878,649.44285,649.44285,121.319989561,2340400544.36188,3404.6448637384,10592.3065681262,687414,691732,1,0.9571984436,1.3159310728,1.3747735192
"10","Norway",578,"NOR",2009,"Norway",102957748.068,49.5009802438,61.6712648,46542088209.8166,37357414290.9168,51357983911.5824,953.4075525476,16918245.4629102,3.1250180622,3.71,20095692002.9744,16129983000.192,22175073493.2257,66637780212.7911,53487397291.1088,73533057404.808,13800.2819403692,11076.9170359032,15228.2522149337,1800.51392,1780.49282,88668542.436,32169691066.0599,6662.148787498,3433.3243,3433.3243,641.3664700988,10850795372.8112,2247.1342074102,8909.2829949082,4828726,4661000,1,0.8026587488,1.1034739928,1.3747735192
"11","Ireland",372,"IRL",1982,"Ireland",0,58.02282,32.97,0,0,0,13.5050156997,35532558.811195,6.56332173,2.46,268915442.993694,479867764.596,659709495.466892,268915442.993694,479867764.596,659709495.466892,77.2532413454,137.855006836,189.5194128823,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3480960,3480000,1,1.7844559585,2.4532227979,1.3747735192
"12","Vietnam",704,"VNM",1959,"Vietnam",0,12.14371,2.08,0,0,0,NA,14721586.7556743,2.7192668776,0.13,NA,NA,NA,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30682902,30682902,0,5.901294,8.11294272,1.3747735192
"13","Iceland",352,"ISL",1967,"Iceland",0,9.161955,1.8,0,0,0,0,15656296.5687308,2.8919198312,0.16,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,198676,198676,1,5.153946,7.08550848,1.3747735192
"14","Yemen, Dem. Rep. (South Yemen)",720,"YMD",2006,NA,NA,55.369,65.1440625,NA,NA,NA,NA,31279493.269058,5.77772569,6.39,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0.8541666667,1.1742857143,1.3747735192
"15","Gabon",266,"GAB",1949,"Gabon",NA,12.70712,1.78,NA,NA,NA,NA,0,NA,0.06,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,7.220346,9.92634048,1.3747735192
"16","South Vietnam",714,"VSO",1963,NA,0,9.994071,1.8,0,0,0,NA,17058352.7221649,3.1508976793,0.16,NA,NA,NA,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,34932464,34932464,1,5.62233,7.7294304,1.3747735192
"17","Senegal",686,"SEN",1983,"Senegal",0,50.38642,29.55,0,0,0,0,31265639.2099653,5.7751666667,2.59,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6368519,6368519,1,1.7289156627,2.3768674699,1.3747735192
"18","Portugal",620,"PRT",2001,"Portugal",0,23.698,24.4438911,0,0,0,0,20814444.2019471,3.8446962025,4,0,0,0,0,0,0,0,0,0,0,-266.92695,-13292962.11,-2308856724.3015,-222.2885943568,0,-90.1592,-16.8423029106,-350563174.165005,-33.7509878366,-256.0395821934,10386753,10386753,1,0.9723320158,1.3367363072,1.3747735192
"19","Burundi",108,"BDI",1965,"Burundi",0,9.708031,1.8,0,0,0,0,16590994.960253,3.0645706751,0.16,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3170653,3170653,1,5.451852,7.49506176,1.3747735192
"20","Namibia",516,"NAM",1977,"Namibia",NA,39.04015,13.92,NA,NA,NA,NA,22498960.609321,4.1558481013,0.79,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,977026,977026,0,2.839578,3.90377664,1.3747735192
"21","Nigeria",566,"NGA",1975,"Nigeria",88400000,36.43979,11.53,7471117160,23916525310.3577,32879805667.0896,129.5174502385,15016188.1005721,2.7736835443,0.44,607540800.377859,1944858395.088,2673739820.09032,8078657960.37786,25861383705.4457,35553545487.18,136.9210708277,438.3114580916,602.5789857304,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,59002299,64421500,1,3.201198,4.40092224,1.3747735192
"22","South Africa",710,"ZAF",1991,"South Africa",0,24.95484,20.0033852,0,0,0,0,19477222.3879517,3.5976940928,1.64,0,0,0,0,0,0,0,0,0,0,-330,-16434000,-3005810478,-76.4846593932,0,0,0,0,0,-76.4846593932,39299521,39299521,1,1.2643171806,1.7381497797,1.3747735192
"23","Lesotho",426,"LSO",1964,"Lesotho",NA,9.864053,1.8,NA,NA,NA,NA,15889969.7389196,2.9350822785,0.15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,931826,931826,0,5.54484,7.6228992,1.3747735192
"24","Slovak Republic",703,"SVK",1960,"Slovakia",NA,10.91287,1.9,NA,NA,NA,NA,15656296.5687308,2.8919198312,0.14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3994270,3994270,0,5.808306,7.98510528,1.3747735192
"25","Guyana",328,"GUY",1957,"Guyana",NA,11.47628,1.9,NA,NA,NA,NA,12852184.2618626,2.373964135,0.11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,520286,520286,0,6.111378,8.40176064,1.3747735192
"26","Bahamas, The",44,"BHS",1936,"Bahamas, The",NA,13.38321,1.09,NA,NA,NA,NA,0,NA,0.06,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,12.420786,17.07576768,1.3747735192
"27","Ghana",288,"GHA",1996,"Ghana",354562,22.48449,20.6684884,53716150.0813123,58954245.0223197,81048734.8989773,0,12412518.0098546,2.2927521097,2.17,0,0,0,53716150.0813123,58954245.0223197,81048734.8989773,2.9559262525,3.2441714511,4.4600010026,0,-20.2186,-1006886.28,-165930791.97261,-9.1309444802,0,0,0,0,0,-9.1309444802,18172358,18092295,1,1.0975143403,1.508833652,1.3747735192
"28","Angola",24,"AGO",2011,"Angola",88923698.712,85.1707083947,111.255598,72517590497.2976,55515180042.7434,76320799434.3722,70.8062805594,16370738.5472927,3.0238864759,3.95,1514159644.33869,1159151106.54499,1593570245.98742,74031750141.6363,56674331149.2883,77914369680.3596,3773.5814025115,2888.8308275243,3971.4881230243,1783.10008,1783.10008,88798383.984,55431782387.5831,2825.4950440271,0,0,0,0,0,2825.4950440271,19618432,NA,1,0.76554088,1.0524453296,1.3747735192
"29","Bhutan",64,"BTN",1949,"Bhutan",NA,12.70712,1.78,NA,NA,NA,NA,0,NA,0.06,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,7.220346,9.92634048,1.3747735192
"30","Iraq",368,"IRQ",1953,"Iraq",28700000,12.27372,1.93,406016030,2611361119.6701,3590030116.29629,NA,0,NA,0.09,NA,NA,NA,406016030,2611361119.6701,3590030116.29629,72.2438296686,464.6484719646,638.7864149768,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5620079,5589018,1,6.43167,8.8420896,1.3747735192
"31","Paraguay",600,"PRY",1955,"Paraguay",NA,12.26506,1.93,NA,NA,NA,NA,12384826.4999508,2.2876371308,0.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1683477,1683477,1,6.426504,8.83498752,1.3747735192
"32","Finland",246,"FIN",1985,"Finland",0,43.43477,27.56,0,0,0,0,27598504.3500577,5.0977995781,2.51,0,0,0,0,0,0,0,0,0,0,-196.09684,-9765622.632,-3108858717.24128,-634.2301805774,NA,NA,NA,NA,NA,NA,4901783,4901783,1,1.6003717472,2.2001486989,1.3747735192
"33","Myanmar",104,"MMR",1989,"Burma (Myanmar)",889000,24.86816,18.2261133,118768097.924721,164934406.95675,226747455.083119,7.7394155373,14010059.4335544,2.5878386076,1.69,78079438.3600001,108429671.658,149066241.28704,196847536.284721,273364078.61475,375813696.370159,4.9093673869,6.8176860001,9.372774175,0,0,0,0,0,NA,NA,NA,NA,NA,NA,40096314,38721319,1,1.3887096774,1.9091612903,1.3747735192
"34","Czechoslovakia",200,"CZK",1942,NA,NA,12.42108,1.19,NA,NA,NA,NA,0,NA,0.05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14577000,14577000,1,10.559304,14.51665152,1.3747735192
"35","Spain",724,"ESP",1958,"Spain",NA,12.24772,2.08,NA,NA,NA,NA,13786882.6533849,2.5466149789,0.12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30106188,30106188,1,5.952954,8.18396352,1.3747735192
"36","Slovak Republic",703,"SVK",1980,"Slovakia",NA,75.97401,36.83,NA,NA,NA,1.1177132308,30804095.0090108,5.6899135021,1.59,16475284.0374541,34430144.554,47333650.9938197,16475284.0374541,34430144.554,47333650.9938197,3.3083318198,6.9137711088,9.5048694379,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4979937,4965958,0,2.0898058252,2.8730097087,1.3747735192
"37","Brunei",96,"BRN",2001,"Brunei",9720000,23.698,24.4438911,1741963653.59285,1693767030.76617,2328546061.52996,81.1438755628,20814444.2019471,3.8446962025,4,1737024640.52265,1688964670.23151,2321943903.43744,3478988294.1155,3382731700.99768,4650489964.9674,10199.6197312014,9917.4168137374,13634.2020140356,185,185,9213000,1600207450,4691.4522560028,317.835,317.835,59.373567485,1235827807.48647,3623.1722052434,8314.6244612462,341090,332654,1,0.9723320158,1.3367363072,1.3747735192
"38","United States",840,"USA",1958,"United States",3.35e+08,12.24772,2.08,5107544000,30404974484.976,41799953772.7949,2090.9024460587,13786882.6533849,2.5466149789,0.12,4842474284.78148,28827026663.487,39630632893.1897,9950018284.78147,59232001148.463,81430586665.9846,56.6119890009,337.0085663708,463.310452778,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,175758147,174882000,1,5.952954,8.18396352,1.3747735192
"39","Korea, Rep.",410,"KOR",2008,"Korea, South",0,77.7856254495,97.2559728,0,0,0,2.9159018698,38316711.6296489,7.0775906513,7.96,139694101.615339,111727771.08615,153600381.04443,139694101.615339,111727771.08615,153600381.04443,2.8739502873,2.2985942577,3.1600465168,4.48852,-2354.03747,-117231066.006,-66835251081.4858,-1375.0128804799,0,-1314.31836,-245.5228966105,-9407630027.90043,-193.544757502,-1568.5576379819,48607000,48379392,1,0.7998030682,1.0995480788,1.3747735192
"40","Serbia",688,"SRB",1973,NA,NA,12.58577,3.29,NA,NA,NA,NA,13512777.2517836,2.4959841772,0.22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,3.876222,5.32892736,1.3747735192
"41","Ghana",288,"GHA",1944,"Ghana",NA,11.71031,1.21,NA,NA,NA,NA,0,NA,0.05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,9.78096,13.4466048,1.3747735192
"42","Zimbabwe",716,"ZWE",2002,"Zimbabwe",0,23.71533,25.0232558,0,0,0,0,19291137.0404127,3.56332173,2.95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11866017,11866017,1,0.9571984436,1.3159310728,1.3747735192
"43","Eritrea",232,"ERI",2013,"Eritrea",0,80.3195300542,108.6585177866,0,0,0,0,14835996.8499363,2.7403998971,3.7072900048,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,0,0,0,NA,NA,NA,6333135,NA,1,0.7391922114,1.0162218779,1.3747735192
"44","Azerbaijan",31,"AZE",2007,"Azerbaijan",41935420.158,60.1199916104,72.3890784,22251434840.6738,18480081602.2032,25405926818.6944,111.153916329,31248808.1865621,5.7720577596,6.25,4182272858.06017,3473427410.54857,4775176024.75973,26433707698.7339,21953509012.7518,30181102843.4542,3080.384988141,2558.2964134516,3517.0781633848,695.6,695.6,34640880,15264105149.9265,1778.7637246019,52.93719,52.93719,9.8889984518,309019415.777693,36.0107927444,1814.7745173464,8581300,8120000,1,0.8305119079,1.1417657783,1.3747735192
"45","Mexico",484,"MEX",1972,"Mexico",22200000,10.08942,2.48,403560480,1661580371.42496,2284296694.59732,129.7762596001,13591757.1614495,2.5105727848,0.19,428408556.332764,1763887405.806,2424945696.28856,831969036.332764,3425467777.23096,4709242390.88588,15.4463566561,63.5973151531,87.4319047624,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,53861830,55984294,1,4.117302,5.66035776,1.3747735192
"46","Costa Rica",188,"CRI",2008,"Costa Rica",0,77.7856254495,97.2559728,0,0,0,0,38316711.6296489,7.0775906513,7.96,0,0,0,0,0,0,0,0,0,0,-15.871,-790375.8,-450605516.45096,-107.3893032533,0,0,0,0,0,-107.3893032533,4196000,4196000,1,0.7998030682,1.0995480788,1.3747735192
"47","Sri Lanka",144,"LKA",1997,"Sri Lanka",0,20.3782,19.0925875,0,0,0,0,12932015.0758337,2.3887099156,2.32,0,0,0,0,0,0,0,0,0,0,-36.06,-1795788,-268215830.58,-14.2152322318,0,0,0,0,0,-14.2152322318,18868199,18868199,1,1.0728971963,1.4749906542,1.3747735192
"48","Ethiopia",231,"ETH",1984,NA,NA,45.81844,28.78,NA,NA,NA,NA,29369761.5996525,5.4249736287,2.66,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,44512295,44512295,0,1.6573628489,2.2784985563,1.3747735192
"49","Guinea-Bissau",624,"GNB",1989,"Guinea-Bissau",0,24.86816,18.2261133,0,0,0,0,14010059.4335544,2.5878386076,1.69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,972389,972389,1,1.3887096774,1.9091612903,1.3747735192
"50","Colombia",170,"COL",1936,"Colombia",2562295,13.38321,1.09,20471968.3615,254277938.016962,349574575.693284,NA,0,NA,0.06,NA,NA,NA,20471968.3615,254277938.016962,349574575.693284,2.4090336975,29.9220920236,41.1360997521,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8498000,8498000,1,12.420786,17.07576768,1.3747735192
"51","Lesotho",426,"LSO",2008,"Lesotho",0,77.7856254495,97.2559728,0,0,0,0,38316711.6296489,7.0775906513,7.96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2128180,2128180,1,0.7998030682,1.0995480788,1.3747735192
"52","Jordan",400,"JOR",1964,"Jordan",0,9.864053,1.8,0,0,0,0,15889969.7389196,2.9350822785,0.15,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1017180,1017180,1,5.54484,7.6228992,1.3747735192
"53","Congo, Dem. Rep.",180,"ZAR",1961,"Congo (Kinshasa)",0,10.23677,1.8,0,0,0,0,16357321.7900643,3.0214082278,0.15,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16964231,16964231,1,5.75148,7.9069824,1.3747735192
"54","Portugal",620,"PRT",1984,"Portugal",0,45.81844,28.78,0,0,0,0,29369761.5996525,5.4249736287,2.66,0,0,0,0,0,0,0,0,0,0,-150.42479,-7491154.542,-2515663663.52157,-254.483073199,NA,NA,NA,NA,NA,NA,9885387,9885387,1,1.6573628489,2.2784985563,1.3747735192
"55","Venezuela, RB",862,"VEN",1996,"Venezuela",1.62e+08,22.48449,20.6684884,24543003235.464,26936298006.035,37031309203.0007,306.2677840772,12412518.0098546,2.2927521097,2.17,3463785616.23521,3801554385.696,5226276301.11573,28006788851.6992,30737852391.731,42257585504.1164,1246.2653963996,1367.7941444233,1880.4071694204,1976.39661,1976.39661,98424551.178,16219968481.9563,721.7673385119,0,0,0,0,0,721.7673385119,22472572,21961000,1,1.0975143403,1.508833652,1.3747735192
"56","Iraq",368,"IRQ",1974,"Iraq",96900000,39.93295,11.58,8225007660,28737666813.5651,39507783337.8405,63.2179513894,13216605.4459199,2.4412774262,0.3,239136103.90711,835526720.613001,1148660010.05249,8464143763.90711,29573193534.1781,40656443347.893,731.2087142899,2554.7979127886,3512.2685173166,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11575551,10753925,1,3.493938,4.80337344,1.3747735192
"57","Macedonia, FYR",807,"MKD",1937,"Macedonia",NA,13.9813,1.18,NA,NA,NA,NA,0,NA,0.05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,11.986842,16.47919296,1.3747735192
"58","Afghanistan",4,"AFG",1979,"Afghanistan",0,74.01507,31.61,0,0,0,13.2687952472,23003312.7208218,4.2490084388,1.18,128684236.329268,305226246.5,419616961.041952,128684236.329268,305226246.5,419616961.041952,9.7067959462,23.023557327,31.6521769302,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13257128,15555612,1,2.3719008264,3.2608264463,1.3747735192
"59","South Vietnam",714,"VSO",1959,NA,0,12.14371,2.08,0,0,0,NA,14721586.7556743,2.7192668776,0.13,NA,NA,NA,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30682902,30682902,1,5.901294,8.11294272,1.3747735192
"60","United States",840,"USA",2010,"United States",272840010.486,62.7780519037,79.4955336,158984491080.034,125550910610.035,172604067213.573,5013.1327796709,19153401.3794631,3.5378801776,4.48,121587803108.902,96018544297.5792,132003752048.965,280572294188.936,221569454907.614,304607819262.538,906.9745474641,716.2426948734,984.6714902065,195.90137,-10395.81644,-517711658.712,-238209622978.973,-770.0334975251,1137,-2604,-486.4434997117,-9317047598.40871,-30.1181734772,-800.1516710023,309349689,NA,1,0.7897053968,1.0856660674,1.3747735192
"61","Netherlands",528,"NLD",1985,"Netherlands",3728000,43.43477,27.56,753111174.4,1205257846.01933,1656956570.47173,503.5803290765,27598504.3500577,5.0977995781,2.51,8684272217.89729,13898063902.62,19106690220.9678,9437383392.29729,15103321748.6393,20763646791.4395,650.5863444253,1041.1800047401,1431.3866991995,29.11655,-728.07946,-36258357.108,-11542746818.6908,-795.7241054261,NA,NA,NA,NA,NA,NA,14505966,14491380,1,1.6003717472,2.2001486989,1.3747735192
"62","Lithuania",440,"LTU",1981,"Lithuania",5.4e+07,67.14143,35.93,14221812600,26941651592.0792,37038669171.3267,NA,34697136.395785,6.4090084388,1.98,NA,NA,NA,14221812600,26941651592.0792,37038669171.3267,4140.6224815879,7843.9514997738,10783.656807494,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3434704,3462341,0,1.8943894389,2.6043564356,1.3747735192
"63","Germany",276,"DEU",2001,"Germany",2378049.6,23.698,24.4438911,426083997.369013,414295112.066313,569561949.187751,146.665905814,20814444.2019471,3.8446962025,4,3139636732.36582,3052769312.89325,4196866411.4814,3565720729.73484,3467064424.95956,4766428360.66915,43.2982278519,42.1002531683,57.8783132058,20.68466,-2126.58369,-105903867.762,-18394459804.2513,-223.3622799385,235.69231,-2544.58701,-475.3447812847,-9894037426.7367,-120.1424114081,-343.5046913466,82352579,82280551,1,0.9723320158,1.3367363072,1.3747735192
"64","Yugoslavia, Fed. Rep.",890,"YUG",1948,NA,NA,14.06798,1.99,NA,NA,NA,NA,0,NA,0.07,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,7.148022,9.82691136,1.3747735192
"65","Togo",768,"TGO",1966,"Togo",0,9.413322,1.8,0,0,0,0,16123642.9091083,2.9782447257,0.16,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1690838,1690838,1,5.30376,7.2914688,1.3747735192
"66","Malta",470,"MLT",2000,"Malta",0,28.50001,28.4954492,0,0,0,0,20051474.2893522,3.7037658228,3.68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,389947,389947,1,1,1.3747735192,1.3747735192
"67","Algeria",12,"DZA",1959,"Algeria",1323224,12.14371,2.08,20174402.3936,119055079.798937,163673771.029508,2.6133091425,14721586.7556743,2.7192668776,0.13,6519257.85429434,38472057.26,52890365.5488,26693660.2478943,157527137.058937,216564136.578308,2.4955751683,14.7271227672,20.2464583939,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10696396,10696396,0,5.901294,8.11294272,1.3747735192
"68","Ukraine",804,"UKR",1993,"Ukraine",3900000,20.01414,16.9716342,485168106.8754,578172650.546324,794856449.475811,123.9574266596,15124772.6271366,2.7937405063,2.04,1573244080.34613,1874827893.672,2577463741.20984,2058412187.22153,2453000544.21833,3372320190.68565,39.4039153106,46.9574686262,64.5558843943,0.17684,-387.66877,-19305904.746,-2831982818.28885,-54.2122767372,0,-3192.48,-596.3752472963,-9020040015.80897,-172.6694464246,-226.8817231618,52238773,51887112,1,1.1916955017,1.6383114187,1.3747735192
"69","Cuba",192,"CUB",1932,"Cuba",NA,10.86086,0.87,NA,NA,NA,NA,0,NA,0.06,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3984000,3984000,1,12.599874,17.32197312,1.3747735192
"70","Haiti",332,"HTI",2009,"Haiti",0,49.5009802438,61.6712648,0,0,0,0,16918245.4629102,3.1250180622,3.71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9864241,9036000,1,0.8026587488,1.1034739928,1.3747735192
"71","Armenia",51,"ARM",1955,"Armenia",NA,12.26506,1.93,NA,NA,NA,NA,12384826.4999508,2.2876371308,0.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1565329,1565329,0,6.426504,8.83498752,1.3747735192
"72","Malta",470,"MLT",1937,"Malta",NA,13.9813,1.18,NA,NA,NA,NA,0,NA,0.05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,11.986842,16.47919296,1.3747735192
"73","Belize",84,"BLZ",1991,"Belize",0,24.95484,20.0033852,0,0,0,0,19477222.3879517,3.5976940928,1.64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,195745,195745,1,1.2643171806,1.7381497797,1.3747735192
"74","Ireland",372,"IRL",2008,"Ireland",0,77.7856254495,97.2559728,0,0,0,2.8895136176,38316711.6296489,7.0775906513,7.96,138429901.600721,110716660.035597,152210332.347195,138429901.600721,110716660.035597,152210332.347195,31.2788222363,25.0168979954,34.3925688956,0,-65.66442,-3270088.116,-1864328012.51041,-421.2528060715,0,-169.44137,-31.6527085325,-1212827705.1388,-274.0435538395,-695.296359911,4425675,4156119,1,0.7998030682,1.0995480788,1.3747735192
